,Station Name,Latitude,Longitude,Available Bikes
128,Nelson & Mainland,49.276436,-123.11877,10
129,Point Grey & Blenheim,49.271471,-123.17731,10
130,Yukon & 6th,49.265939,-123.1129,13
131,Burrard & 7th,49.265336,-123.145823,2
132,14th & Granville,49.25894,-123.139272,3
133,Wall & Eton,49.287464,-123.060771,14
134,Beach & Cardero,49.283298,-123.142288,15
135,Cypress & 4th,49.268269,-123.147885,12
136,Bute & Robson,49.285836,-123.127265,0
137,Richards & Robson,49.280216,-123.117639,1
138,Glen & Union,49.277469,-123.081315,1
139,8th & Yukon,49.263962,-123.112621,7
140,1st & Chestnut,49.270721,-123.146175,26
141,10th & Main,49.262141,-123.101961,1
142,Georgia & Homer,49.280787,-123.115271,2
143,York & Yew,49.271741,-123.155421,8
144,Ontario & Seawall,49.271721,-123.104207,5
145,10th & Granville,49.262598,-123.138921,3
146,15th & Knight,49.256496,-123.075426,14
147,Ontario & 23rd,49.249722,-123.104991,6
148,Dunbar & Broadway,49.264579,-123.18373,15
149,Carrall & Hastings,49.28117,-123.104419,11
150,8th & Commercial,49.263242,-123.070521,8
151,Charleson Park,49.267628,-123.127698,5
152,Beach & Hornby,49.275295,-123.132585,7
153,Princess & Union,49.277615,-123.091654,5
154,3rd & Quebec,49.268216,-123.103168,6
155,Stanley Park - Second Beach South,49.294318,-123.148808,7
156,6th & Carolina,49.265213,-123.090785,8
157,UBC Bookstore,49.265207,-123.250139,4
158,Balaclava & Broadway,49.264483,-123.173926,8
159,Expo & Carrall,49.278004,-123.105664,6
160,Beach & Seymour,49.273568,-123.129935,7
161,27th & Main,49.247204,-123.101549,7
162,Stanley Park - Second Beach North,49.29534,-123.150433,8
163,Keith & 6th,49.265005,-123.079481,12
164,Jericho Beach,49.271221,-123.191133,9
165,Point Grey & Bayswater,49.271044,-123.170661,13
166,7th & Woodland,49.264251,-123.073853,4
167,Aquatic Centre,49.27821,-123.136972,9
168,Georgia & Thurlow,49.285953,-123.124066,0
169,Cordova & Granville,49.2856698,-123.1125432,6
170,Vanier Park,49.275717,-123.142564,22
171,Trafalgar & Broadway,49.264326,-123.164725,3
172,Napier & Commercial,49.274881,-123.069323,10
173,7th & Laurel,49.265071,-123.123864,4
174,Science World,49.273691,-123.102232,13
175,Pender & Victoria,49.280197,-123.065859,6
176,Cypress & 16th,49.25741,-123.148531,2
177,Spyglass & Seawall,49.270877,-123.115103,1
178,Keefer & Hawks,49.279235,-123.087528,8
179,29th & Cambie,49.245135,-123.116098,9
180,Victoria & 10th,49.261188,-123.066009,0
181,Commercial & Adanac,49.277436,-123.070427,3
182,Columbia & 14th,49.258902,-123.109596,5
183,Dunsmuir & Richards,49.282214,-123.114101,4
184,Campbell & Hastings,49.280852,-123.084746,3
185,Franklin & Nanaimo,49.282087,-123.056909,9
186,Charles & Commercial,49.273103,-123.069892,13
187,Beatty & Nelson,49.275679,-123.116963,14
188,Trimble & 8th,49.2658,-123.20596,9
189,David Lam Park,49.270905,-123.126006,5
190,Burrard & 4th,49.267859,-123.145782,13
191,Cypress & Cornwall,49.272827,-123.147744,18
192,Keefer & Princess,49.279369,-123.091241,3
193,Bidwell & Burnaby,49.28526,-123.141809,0
194,11th & Kingsway,49.261122,-123.097571,3
195,Pender & Burrard,49.287097,-123.118551,5
196,Columbia & 1st,49.269969,-123.109623,14
197,Melville & Bute,49.287782,-123.12395,7
198,Anderson & 2nd,49.269361,-123.13782,24
199,5th & Main,49.266456,-123.100324,7
200,Alexander & Dunlevy,49.284062,-123.095097,8
201,13th & St George,49.258817,-123.092797,3
202,Commercial & Pandora,49.283236,-123.070443,11
203,Grandview & Commercial,49.263746,-123.069892,9
204,Expo & Smithe,49.276115,-123.114496,10
205,Cypress & 14th,49.25919,-123.148268,3
206,Brock Commons,49.269172,-123.25279,9
207,Beach & Broughton,49.281301,-123.139108,19
208,Arbutus Greenway & 14th,49.258924,-123.152591,3
209,Alexander & Main,49.284157,-123.099917,17
210,Hornby & Drake,49.277178,-123.13,0
211,Highbury & 8th,49.265442,-123.187738,8
212,Pharmaceutical Sciences,49.26262,-123.2431,4
213,Haro & Denman,49.290587,-123.13625,15
