,bike_station_index,distance,restaurants,parks
26,7,151,1,0
27,7,167,1,0
28,7,163,1,0
29,7,167,1,0
30,7,176,1,0
31,7,183,1,0
32,7,200,1,0
33,7,229,1,0
34,7,242,1,0
35,7,269,1,0
36,7,281,0,1
37,7,282,1,0
38,7,285,1,0
39,7,449,1,0
40,7,288,1,0
41,7,292,1,0
42,7,476,1,0
43,7,498,1,0
44,7,373,1,0
45,7,394,1,0
46,7,394,1,0
47,7,455,1,0
48,7,403,1,0
49,7,446,1,0
0,8,83,1,0
1,8,352,1,0
2,8,274,1,0
3,8,277,1,0
4,8,468,1,0
5,8,341,1,0
6,8,414,1,0
7,8,640,1,0
8,8,431,1,0
9,8,293,1,0
10,8,407,1,0
11,8,159,1,0
12,8,468,1,0
13,8,452,1,0
14,8,379,1,0
15,8,315,1,0
16,8,56,1,0
17,8,335,1,0
18,8,130,1,0
19,8,153,0,1
20,8,154,0,1
21,8,258,0,1
22,8,272,1,0
23,8,278,1,0
24,8,302,1,0
25,8,322,1,0
26,8,329,1,0
27,8,330,1,0
28,8,380,1,0
29,8,321,1,0
30,8,471,1,0
31,8,456,1,0
32,8,49,1,0
33,8,298,1,0
34,8,407,1,0
35,8,434,1,0
0,9,199,1,0
1,9,293,1,0
2,9,163,1,0
3,9,335,1,0
4,9,421,1,0
5,9,352,1,0
6,9,321,1,0
7,9,295,0,1
8,9,331,1,0
9,9,466,1,0
10,9,485,1,0
11,9,299,1,0
12,9,400,1,0
13,9,314,1,0
14,9,276,1,0
15,9,454,0,1
16,9,366,1,0
17,9,130,1,0
18,9,212,1,0
19,9,452,1,0
20,9,431,1,0
21,9,110,1,0
22,9,314,1,0
23,9,126,1,0
24,9,136,1,0
25,9,329,1,0
26,9,226,1,0
27,9,233,0,1
28,9,343,1,0
29,9,303,1,0
30,9,315,1,0
31,9,325,1,0
32,9,325,1,0
33,9,328,1,0
34,9,329,1,0
35,9,334,1,0
36,9,347,1,0
37,9,350,1,0
38,9,350,1,0
39,9,352,1,0
40,9,358,1,0
41,9,374,1,0
42,9,379,1,0
43,9,382,1,0
44,9,383,1,0
45,9,412,1,0
46,9,430,1,0
47,9,308,1,0
48,9,480,1,0
49,9,494,1,0
0,10,229,1,0
1,10,445,1,0
2,10,462,1,0
3,10,399,1,0
4,10,439,1,0
5,10,399,1,0
6,10,464,1,0
7,10,462,1,0
8,10,385,1,0
9,10,450,1,0
10,10,424,1,0
11,10,170,1,0
12,10,459,1,0
13,10,57,1,0
14,10,81,1,0
15,10,109,1,0
16,10,120,1,0
17,10,131,1,0
18,10,165,1,0
19,10,459,1,0
20,10,167,1,0
21,10,171,1,0
22,10,171,1,0
23,10,175,1,0
24,10,179,1,0
25,10,189,1,0
26,10,425,1,0
27,10,424,1,0
28,10,267,1,0
29,10,356,1,0
30,10,369,1,0
31,10,385,1,0
32,10,390,1,0
33,10,400,1,0
34,10,407,1,0
35,10,407,1,0
36,10,417,1,0
37,10,419,1,0
38,10,425,0,1
39,10,433,1,0
40,10,439,0,1
41,10,459,1,0
42,10,459,1,0
43,10,464,1,0
44,10,470,1,0
45,10,470,1,0
46,10,476,1,0
47,10,477,1,0
48,10,480,1,0
49,10,495,1,0
0,11,336,0,1
1,11,364,1,0
2,11,124,1,0
3,11,156,1,0
4,11,417,0,1
0,12,79,1,0
1,12,115,1,0
2,12,91,1,0
3,12,120,1,0
4,12,117,1,0
5,12,127,1,0
6,12,154,1,0
7,12,73,1,0
8,12,126,1,0
9,12,460,1,0
10,12,180,0,1
11,12,504,1,0
12,12,488,1,0
13,12,457,1,0
14,12,340,1,0
15,12,126,1,0
16,12,126,1,0
17,12,149,0,1
18,12,151,0,1
19,12,195,1,0
20,12,249,1,0
