bike_station_index,distance,Available Bikes,Latitude,Longitude,restaurants,parks
148,298.12,15.0,49.264579,-123.18373,48,2
149,326.0,11.0,49.28117,-123.104419,50,0
150,256.14,8.0,49.263242,-123.07052100000001,48,2
151,389.85185185185185,5.0,49.267628,-123.127698,20,7
152,341.84,7.0,49.275295,-123.132585,49,1
153,405.42105263157896,5.0,49.277615,-123.091654,18,1
154,270.52,6.0,49.268216,-123.10316800000001,49,1
155,145.4,7.0,49.294318,-123.148808,8,2
156,336.05882352941177,8.0,49.265213,-123.090785,30,4
157,289.90697674418607,4.0,49.26520699999999,-123.25013899999999,43,0
158,230.0,8.0,49.264483,-123.173926,49,1
159,369.44,6.0,49.278004,-123.10566399999999,49,1
160,400.8,7.0,49.273568,-123.129935,47,3
161,177.52,7.0,49.247204,-123.10154900000002,48,2
162,170.33333333333334,8.0,49.29534,-123.15043299999999,7,2
163,385.14285714285717,12.0,49.26500500000001,-123.079481,12,2
164,380.6,9.0,49.271221,-123.191133,9,1
165,339.25,13.0,49.271044,-123.170661,22,6
166,362.6666666666667,4.0,49.264251,-123.073853,44,4
167,433.86,9.0,49.27821,-123.136972,47,3
168,366.3,0.0,49.285953,-123.124066,49,1
169,295.86,6.0,49.28566980000001,-123.1125432,50,0
170,358.94117647058823,22.0,49.275717,-123.14256399999998,10,7
171,319.2040816326531,3.0,49.264326000000004,-123.164725,49,0
172,173.36,10.0,49.27488100000001,-123.069323,49,1
173,313.22,4.0,49.265071,-123.123864,45,5
174,308.56,13.0,49.273691,-123.102232,44,6
175,330.92,6.0,49.280197,-123.065859,24,1
176,389.42857142857144,2.0,49.25741,-123.148531,5,2
177,382.6666666666667,1.0,49.27087699999999,-123.115103,25,2
178,331.7037037037037,8.0,49.279235,-123.087528,24,3
179,380.0,9.0,49.245135,-123.11609800000001,3,3
180,352.7608695652174,0.0,49.261188,-123.06600900000001,45,1
181,314.56,3.0,49.277435999999994,-123.070427,48,2
182,419.2857142857143,5.0,49.258902,-123.109596,38,4
183,346.58,4.0,49.282214,-123.114101,50,0
184,233.83333333333334,3.0,49.280852,-123.084746,22,2
185,253.8,9.0,49.282087000000004,-123.05690899999999,47,3
186,196.56,13.0,49.273103,-123.069892,49,1
187,331.0,14.0,49.275679,-123.116963,49,1
188,310.89285714285717,9.0,49.2658,-123.20596,28,0
189,401.62068965517244,5.0,49.270905,-123.126006,25,4
190,306.28,13.0,49.267859,-123.145782,47,3
191,253.93548387096774,18.0,49.272827,-123.147744,27,4
192,410.60526315789474,3.0,49.279369,-123.09124099999998,37,1
193,263.68,0.0,49.28526,-123.141809,47,3
194,357.58,3.0,49.26112199999999,-123.097571,50,0
195,327.5,5.0,49.287097,-123.11855099999998,48,2
196,282.04545454545456,14.0,49.26996900000001,-123.109623,40,4
197,307.98,7.0,49.287782,-123.12394999999998,49,1
198,316.04,24.0,49.26936100000001,-123.13782,46,4
199,335.56,7.0,49.266456,-123.100324,50,0
200,291.3666666666667,8.0,49.284062,-123.095097,28,2
201,380.9130434782609,3.0,49.258817,-123.092797,41,5
202,313.5151515151515,11.0,49.283236,-123.070443,33,0
203,266.32,9.0,49.263746,-123.069892,47,3
204,358.02,10.0,49.276115,-123.114496,49,1
205,423.57142857142856,3.0,49.25919,-123.148268,11,3
206,333.0,9.0,49.26917199999999,-123.25279,42,0
207,406.93333333333334,19.0,49.28130099999999,-123.13910800000001,43,2
208,321.9230769230769,3.0,49.25892399999999,-123.152591,9,4
209,334.94,17.0,49.28415700000001,-123.099917,49,1
210,306.0,0.0,49.277178000000006,-123.13,48,2
211,294.97435897435895,8.0,49.265442,-123.187738,38,1
212,393.38775510204084,4.0,49.26262,-123.2431,45,4
213,188.32,15.0,49.290587,-123.13625,49,1
214,423.3529411764706,11.0,49.257985,-123.083366,15,2
215,455.9591836734694,2.0,49.256694,-123.096579,47,2
216,307.1,12.0,49.285512,-123.1384,48,2
217,355.15,10.0,49.26893,-123.11813,19,1
218,354.6,6.0,49.273471,-123.11801599999998,48,2
219,359.7,4.0,49.277665,-123.073653,49,1
220,209.57777777777778,1.0,49.282055,-123.13304499999998,42,3
221,341.56,7.0,49.266724999999994,-123.065925,48,2
222,423.125,1.0,49.245535,-123.120496,6,2
223,390.3,13.0,49.276292,-123.150592,19,1
224,276.32,12.0,49.26756100000001,-123.252261,50,0
225,249.68,28.0,49.27029,-123.135025,47,3
226,371.12,5.0,49.265242,-123.095577,48,2
227,349.65909090909093,0.0,49.28374900000001,-123.13613299999999,41,3
228,421.88,2.0,49.27751,-123.061429,23,2
229,326.51428571428573,3.0,49.262944,-123.148109,34,1
230,418.82608695652175,2.0,49.261655,-123.24192400000001,20,3
231,318.98,23.0,49.285871,-123.12105,49,1
232,365.54545454545456,4.0,49.251358,-123.115637,31,2
233,349.2,15.0,49.262242,-123.081459,7,3
234,368.0,1.0,49.298657,-123.121176,0,1
235,479.68,11.0,49.287528,-123.142139,48,2
236,279.06,4.0,49.280284,-123.097052,49,1
237,264.34,0.0,49.275683,-123.124388,48,2
238,388.06,9.0,49.280332,-123.070068,48,2
239,201.64,12.0,49.25481799999999,-123.114785,46,4
240,238.84,7.0,49.268616,-123.069908,48,2
241,166.0,13.0,49.25477999999999,-123.23621000000001,10,1
242,367.18,14.0,49.293257,-123.13856300000002,48,2
243,291.56,7.0,49.279342,-123.101822,50,0
244,316.92,1.0,49.288682,-123.11818,49,1
245,352.84,1.0,49.270684,-123.073562,48,2
246,325.5,15.0,49.291597,-123.129158,48,2
247,278.96,9.0,49.2890705989865,-123.138407369468,49,1
248,251.96875,0.0,49.263382,-123.088837,29,3
249,345.3,7.0,49.266923999999996,-123.173849,49,1
250,316.64,26.0,49.284605,-123.10866200000001,50,0
251,307.64,6.0,49.279938,-123.127478,47,3
252,405.32,12.0,49.28602,-123.11662400000002,50,0
253,308.86,7.0,49.26508900000001,-123.119425,49,1
254,330.84,4.0,49.277595,-123.09583,50,0
255,298.06,2.0,49.277141,-123.122589,49,1
256,300.1,21.0,49.279821,-123.10802,50,0
257,338.86,0.0,49.263518,-123.09567999999999,49,1
